center,left,right,steering,throttle,brake,speed
IMG/center_2021_04_13_19_39_50_180.jpg,IMG/left_2021_04_13_19_39_50_180.jpg,IMG/right_2021_04_13_19_39_50_180.jpg,0,0,0,4.08E-05
IMG/center_2021_04_13_19_39_50_250.jpg,IMG/left_2021_04_13_19_39_50_250.jpg,IMG/right_2021_04_13_19_39_50_250.jpg,0,0,0,1.40E-05
IMG/center_2021_04_13_19_39_50_320.jpg,IMG/left_2021_04_13_19_39_50_320.jpg,IMG/right_2021_04_13_19_39_50_320.jpg,0,0,0,7.74E-05
IMG/center_2021_04_13_19_39_50_390.jpg,IMG/left_2021_04_13_19_39_50_390.jpg,IMG/right_2021_04_13_19_39_50_390.jpg,0,0,0,9.71E-05
IMG/center_2021_04_13_19_39_50_462.jpg,IMG/left_2021_04_13_19_39_50_462.jpg,IMG/right_2021_04_13_19_39_50_462.jpg,0,0,0,3.71E-05
IMG/center_2021_04_13_19_39_50_531.jpg,IMG/left_2021_04_13_19_39_50_531.jpg,IMG/right_2021_04_13_19_39_50_531.jpg,0,0,0,0.000129107
IMG/center_2021_04_13_19_39_50_601.jpg,IMG/left_2021_04_13_19_39_50_601.jpg,IMG/right_2021_04_13_19_39_50_601.jpg,0,0,0,0.000137457
IMG/center_2021_04_13_19_39_50_669.jpg,IMG/left_2021_04_13_19_39_50_669.jpg,IMG/right_2021_04_13_19_39_50_669.jpg,0,0,0,0.000179209
IMG/center_2021_04_13_19_39_50_741.jpg,IMG/left_2021_04_13_19_39_50_741.jpg,IMG/right_2021_04_13_19_39_50_741.jpg,0,0,0,0.000260942
IMG/center_2021_04_13_19_39_50_809.jpg,IMG/left_2021_04_13_19_39_50_809.jpg,IMG/right_2021_04_13_19_39_50_809.jpg,0,0,0,4.09E-05
IMG/center_2021_04_13_19_39_50_878.jpg,IMG/left_2021_04_13_19_39_50_878.jpg,IMG/right_2021_04_13_19_39_50_878.jpg,0,0,0,4.15E-05
IMG/center_2021_04_13_19_39_50_953.jpg,IMG/left_2021_04_13_19_39_50_953.jpg,IMG/right_2021_04_13_19_39_50_953.jpg,0,0,0,6.52E-05
IMG/center_2021_04_13_19_39_51_022.jpg,IMG/left_2021_04_13_19_39_51_022.jpg,IMG/right_2021_04_13_19_39_51_022.jpg,0,0,0,7.01E-06
IMG/center_2021_04_13_19_39_51_089.jpg,IMG/left_2021_04_13_19_39_51_089.jpg,IMG/right_2021_04_13_19_39_51_089.jpg,0,0,0,7.96E-05
IMG/center_2021_04_13_19_39_51_159.jpg,IMG/left_2021_04_13_19_39_51_159.jpg,IMG/right_2021_04_13_19_39_51_159.jpg,0,0,0,9.71E-05
IMG/center_2021_04_13_19_39_51_227.jpg,IMG/left_2021_04_13_19_39_51_227.jpg,IMG/right_2021_04_13_19_39_51_227.jpg,0,0,0,0.000112474
IMG/center_2021_04_13_19_39_51_299.jpg,IMG/left_2021_04_13_19_39_51_299.jpg,IMG/right_2021_04_13_19_39_51_299.jpg,0,0,0,0.000101264
IMG/center_2021_04_13_19_39_51_368.jpg,IMG/left_2021_04_13_19_39_51_368.jpg,IMG/right_2021_04_13_19_39_51_368.jpg,0,0,0,0.00020642
IMG/center_2021_04_13_19_39_51_437.jpg,IMG/left_2021_04_13_19_39_51_437.jpg,IMG/right_2021_04_13_19_39_51_437.jpg,0,0,0,3.99E-05
IMG/center_2021_04_13_19_39_51_507.jpg,IMG/left_2021_04_13_19_39_51_507.jpg,IMG/right_2021_04_13_19_39_51_507.jpg,0,0,0,3.01E-05
IMG/center_2021_04_13_19_39_51_576.jpg,IMG/left_2021_04_13_19_39_51_576.jpg,IMG/right_2021_04_13_19_39_51_576.jpg,0,0,0,6.12E-05
IMG/center_2021_04_13_19_39_51_646.jpg,IMG/left_2021_04_13_19_39_51_646.jpg,IMG/right_2021_04_13_19_39_51_646.jpg,0,0,0,7.51E-05
